model,max_depth,n_estimators,cv_accuracy_mean,cv_accuracy_std,is_paper_choice
XGBoost,2,50,0.8063,0.0364,False
XGBoost,2,100,0.7937,0.0508,False
XGBoost,2,200,0.7875,0.0538,False
XGBoost,2,500,0.7688,0.0424,False
XGBoost,3,50,0.7875,0.0637,False
XGBoost,3,100,0.7937,0.0612,True
XGBoost,3,200,0.775,0.0415,False
XGBoost,3,500,0.7562,0.0364,False
XGBoost,4,50,0.7812,0.0523,False
XGBoost,4,100,0.7812,0.0523,False
XGBoost,4,200,0.7688,0.0319,False
XGBoost,4,500,0.7562,0.0364,False
XGBoost,5,50,0.7875,0.05,False
XGBoost,5,100,0.7812,0.0523,False
XGBoost,5,200,0.7688,0.0319,False
XGBoost,5,500,0.7562,0.0364,False
XGBoost,6,50,0.7812,0.0523,False
XGBoost,6,100,0.7812,0.0523,False
XGBoost,6,200,0.7688,0.0319,False
XGBoost,6,500,0.7625,0.0424,False
RandomForest,None,100,0.8,0.0508,False
RandomForest,None,200,0.8,0.0508,False
RandomForest,None,400,0.8,0.0508,True
RandomForest,None,800,0.8,0.0508,False
RandomForest,5,100,0.7875,0.0606,False
RandomForest,5,200,0.8,0.0508,False
RandomForest,5,400,0.7937,0.0508,False
RandomForest,5,800,0.8,0.0508,False
RandomForest,10,100,0.8,0.0508,False
RandomForest,10,200,0.8,0.0508,False
RandomForest,10,400,0.8,0.0508,False
RandomForest,10,800,0.8,0.0508,False
RandomForest,20,100,0.8,0.0508,False
RandomForest,20,200,0.8,0.0508,False
RandomForest,20,400,0.8,0.0508,False
RandomForest,20,800,0.8,0.0508,False
