file,n,type,heuristic,runtime_ms,hit_sentinel
fl1577,1577,EUC_2D,Insertion,787284.0,False
d1655,1655,EUC_2D,Insertion,910736.0,False
vm1748,1748,EUC_2D,Insertion,1102586.0,False
u1817,1817,EUC_2D,Insertion,1186843.0,False
rl1889,1889,EUC_2D,Insertion,1370244.0,False
d2103,2103,EUC_2D,Insertion,1000000.0,True
u2152,2152,EUC_2D,Insertion,1000000.0,True
u2319,2319,EUC_2D,CH,733194.0,False
u2319,2319,EUC_2D,Insertion,1000000.0,True
pr2392,2392,EUC_2D,CH,667073.0,False
pr2392,2392,EUC_2D,Insertion,1000000.0,True
pcb3038,3038,EUC_2D,CH,1000000.0,True
pcb3038,3038,EUC_2D,Insertion,1000000.0,True
nu3496,3496,EUC_2D,CH,1000000.0,True
nu3496,3496,EUC_2D,Insertion,1000000.0,True
fl3795,3795,EUC_2D,CH,1000000.0,True
fl3795,3795,EUC_2D,Insertion,1000000.0,True
fnl4461,4461,EUC_2D,CH,1000000.0,True
fnl4461,4461,EUC_2D,Insertion,1000000.0,True
rl5915,5915,EUC_2D,CH,1000000.0,True
rl5915,5915,EUC_2D,Insertion,1000000.0,True
rl5934,5934,EUC_2D,CH,1000000.0,True
rl5934,5934,EUC_2D,Insertion,1000000.0,True
